,age_diff,pairwise_diff
0,6,91.0
1,58,110.0
2,2,78.0
3,352,169.0
4,429,173.0
5,608,9.0
6,408,141.0
7,158,100.0
8,2,63.0
9,8,195.0
10,32,16.0
11,229,11.0
12,35,34.0
13,242,153.0
14,442,95.0
15,417,108.0
16,612,140.0
17,183,44.0
18,154,121.0
19,448,36.0
20,148,42.0
21,7,184.0
22,52,185.0
23,8,159.0
24,346,210.0
25,423,204.0
26,602,100.0
27,402,206.0
28,152,189.0
29,8,148.0
30,2,210.0
31,26,103.0
32,223,100.0
33,41,103.0
34,248,168.0
35,448,176.0
36,423,167.0
37,618,199.0
38,177,103.0
39,160,154.0
40,454,101.0
41,154,121.0
42,13,193.0
43,60,78.0
44,294,143.0
45,371,177.0
46,550,109.0
47,350,109.0
48,100,54.0
49,60,77.0
50,50,221.0
51,26,106.0
52,171,107.0
53,93,122.0
54,300,171.0
55,500,83.0
56,475,118.0
57,670,100.0
58,125,136.0
59,212,151.0
60,506,142.0
61,206,132.0
62,65,166.0
63,354,161.0
64,431,179.0
65,610,79.0
66,410,109.0
67,160,62.0
68,0,73.0
69,10,221.0
70,34,82.0
71,231,77.0
72,33,92.0
73,240,161.0
74,440,79.0
75,415,108.0
76,610,96.0
77,185,106.0
78,152,157.0
79,446,112.0
80,146,108.0
81,5,170.0
82,77,224.0
83,256,168.0
84,56,154.0
85,194,153.0
86,354,150.0
87,344,220.0
88,320,161.0
89,123,170.0
90,387,169.0
91,594,172.0
92,794,156.0
93,769,167.0
94,964,157.0
95,169,185.0
96,506,198.0
97,800,187.0
98,500,173.0
99,359,179.0
100,179,172.0
101,21,204.0
102,271,189.0
103,431,174.0
104,421,260.0
105,397,161.0
106,200,180.0
107,464,181.0
108,671,218.0
109,871,184.0
110,846,201.0
111,1041,197.0
112,246,189.0
113,583,206.0
114,877,183.0
115,577,201.0
116,436,203.0
117,200,134.0
118,450,97.0
119,610,64.0
120,600,192.0
121,576,19.0
122,379,16.0
123,643,43.0
124,850,154.0
125,1050,98.0
126,1025,115.0
127,1220,135.0
128,425,49.0
129,762,118.0
130,1056,43.0
131,756,47.0
132,615,177.0
133,250,103.0
134,410,124.0
135,400,244.0
136,376,133.0
137,179,138.0
138,443,147.0
139,650,212.0
140,850,118.0
141,825,153.0
142,1020,87.0
143,225,153.0
144,562,170.0
145,856,171.0
146,556,155.0
147,415,181.0
148,160,67.0
149,150,223.0
150,126,98.0
151,71,97.0
152,193,112.0
153,400,175.0
154,600,89.0
155,575,110.0
156,770,88.0
157,25,128.0
158,312,153.0
159,606,134.0
160,306,116.0
161,165,170.0
162,10,216.0
163,34,59.0
164,231,64.0
165,33,81.0
166,240,156.0
167,440,88.0
168,415,105.0
169,610,101.0
170,185,97.0
171,152,132.0
172,446,97.0
173,146,87.0
174,5,169.0
175,24,193.0
176,221,202.0
177,43,203.0
178,250,226.0
179,450,228.0
180,425,211.0
181,620,235.0
182,175,205.0
183,162,212.0
184,456,191.0
185,156,213.0
186,15,229.0
187,197,27.0
188,67,46.0
189,274,157.0
190,474,103.0
191,449,110.0
192,644,130.0
193,151,56.0
194,186,111.0
195,480,52.0
196,180,56.0
197,39,174.0
198,264,39.0
199,471,154.0
200,671,96.0
201,646,113.0
202,841,137.0
203,46,49.0
204,383,124.0
205,677,47.0
206,377,47.0
207,236,181.0
208,207,153.0
209,407,109.0
210,382,120.0
211,577,140.0
212,218,72.0
213,119,131.0
214,413,58.0
215,113,66.0
216,28,174.0
217,200,142.0
218,175,145.0
219,370,175.0
220,425,155.0
221,88,172.0
222,206,151.0
223,94,151.0
224,235,147.0
225,25,105.0
226,170,103.0
227,625,121.0
228,288,170.0
229,6,127.0
230,294,117.0
231,435,177.0
232,195,128.0
233,600,130.0
234,263,159.0
235,31,124.0
236,269,118.0
237,410,166.0
238,795,144.0
239,458,163.0
240,164,168.0
241,464,144.0
242,605,150.0
243,337,127.0
244,631,74.0
245,331,70.0
246,190,176.0
247,294,141.0
248,6,121.0
249,147,153.0
250,300,72.0
251,441,182.0
252,141,162.0
